Fishes	Moray eels	"Bar-cheeked Eel, Black-speckled Reef-eels, Painted Moray, Peppered Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	pictus 																																																																										
Fishes	Moray eels	Pinda Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	pindae 																																																																										
Fishes	Moray eels	"Freshwater Moray, Manytoothed Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	polyuranodon 																																																																										
Fishes	Moray eels	Lowfin Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	porphyreus 																																																																										
Fishes	Moray eels	"Brown Reef Eel, Green Eel, Green Moray, Green Reef Eel, Pettifogger, Southern Green Moray, Sydney Green Eel, Yellow Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	prasinus 																																																																										
Fishes	Moray eels	"Indo-Pacific Spotted Moray, Saw-tooth Moray, Saw-toothed Eel, Sawtooth Moray, Sawtoothed Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	prionodon 																																																																										
Fishes	Moray eels	False Brown Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	pseudoherrei 																																																																										
Fishes	Moray eels	"False Spotted Moray, Highfin Moray, Mottled Moray-eel, Yellow-lined Reef-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	pseudothyrsoideus 																																																																										
Fishes	Moray eels	Pygmy Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	robinsi 																																																																										
Fishes	Moray eels	"Banded Moray, Banded Reef-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	rueppellii 																																																																										
Fishes	Moray eels	"Freckled Moray, Freckled Reef Eel, Freckled Reef-eel, Greyface Moray, White-eyed Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	thrysoideus 																																																																										
Fishes	Moray eels	"Leopard Moray, Mottled Moray, Mottled Reef-eel, Undulate Moray, Undulated Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	undulatus 																																																																										
Fishes	Moray eels	"Western Moray, Woodward's Eel, Woodward's Moray, Woodward's Reef Eel, Woodward's Reef-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	woodwardi 																																																																										
Fishes	Moray eels	"Bar-tail Moray, Barredfin Moray, Bartail Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax	zonipectis 																																																																										
Fishes	Moray eels	"Ribbon Eel, Ribbon Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Rhinomuraena	quaesita 																																																																										
Fishes	Moray eels	"Long-tailed Eel, Longtail Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Strophidon	sathete 																																																																										
Fishes	Moray eels	"Brown Reef-eel, Unicolor Snake Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Uropterygius	concolor 																																																																										
Fishes	Moray eels	"Brownspotted Snake Moray, Finless Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Uropterygius	fuscoguttatus 																																																																										
Fishes	Moray eels	"Moon Moray, Moon Snake Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Uropterygius	kamar 																																																																										
Fishes	Moray eels	"Marbled Moray, Marbled Reef-eel, Marbled Snake Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Uropterygius	marmoratus 																																																																										
Fishes	Moray eels	"Shortfin Snake Moray, Shortfinned Snake Moray"	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Uropterygius	micropterus 																																																																										
Fishes	Moray eels	Nago Snake Moray	Animalia: Chordata: Actinopterygii	Anguilliformes	Muraenidae	Uropterygius	nagoensis 																																																																										
Fishes	Snipe eels	Southern Snipe Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Nemichthyidae	Avocettina	acuticeps 																																																																										
Fishes	Snipe eels	"Avocet Snipe Eel, Avocet Snipe-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Nemichthyidae	Avocettina	infans 																																																																										
Fishes	Snipe eels	Yano's Snipe Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Nemichthyidae	Labichthys	yanoi 																																																																										
Fishes	Snipe eels	Boxer Snipe Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Nemichthyidae	Nemichthys	curvirostris 																																																																										
Fishes	Snipe eels	"Slender Snipe Eel, Snipe Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Nemichthyidae	Nemichthys	scolopaceus 																																																																										
Fishes	Duckbill eels	Blackfin Sorcerer	Animalia: Chordata: Actinopterygii	Anguilliformes	Nettastomatidae	Nettastoma	melanurum 																																																																										
Fishes	Duckbill eels	"Duckbill Eel, Shortsnouted Sorcerer, Smallhead Duckbill Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Nettastomatidae	Nettastoma	parviceps 																																																																										
Fishes	Duckbill eels	Solitary Duckbill Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Nettastomatidae	Nettastoma	solitarium 																																																																										
Fishes	Duckbill eels	Bridge Duckbill Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Nettastomatidae	Nettenchelys	gephyra 																																																																										
Fishes	Duckbill eels	"Whitsunday Wire Eel, Wire Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Nettastomatidae	Saurenchelys	finitimus 																																																																										
Fishes	Duckbill eels	Pillar Wire Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Nettastomatidae	Saurenchelys	stylura 																																																																										
Fishes	Worm eels & snake eels	Smalleye Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Allips	concolor 																																																																										
Fishes	Worm eels & snake eels	"Sharpnose Sand Eel, Sharpnose Snake Eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Apterichtus	flavicaudus 																																																																										
Fishes	Worm eels & snake eels	"Sharpsnout Snake Eel, Sharpsnout Snake-eel"	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Apterichtus	klazingai 																																																																										
Fishes	Worm eels & snake eels	Siboga Snake Eel	Animalia: Chordata: Actinopterygii	Anguilliformes	Ophichthidae	Bascanichthys	sibogae 																																																																										
